Fishing Year,Hapuupuu,Kalekale,Opakapaka,Ehu,Onaga,Lehi,Gindai
1948,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1949,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1950,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1951,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1952,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1953,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1954,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1955,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1956,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1957,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1958,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1959,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1960,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1961,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1962,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1963,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1964,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1965,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1966,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1967,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1968,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1969,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1970,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1971,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1972,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1973,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1974,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1975,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1976,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1977,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1978,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1979,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1980,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1981,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1982,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1983,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1984,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1985,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1986,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1987,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1988,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1989,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1990,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1991,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1992,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1993,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1994,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1995,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1996,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1997,1.02,0.03,2.87,1.11,0.73,0.04,0.15
1998,0.934,0.08,2.69,0.938,0.594,0.052,0.242
1999,0.848,0.13,2.51,0.766,0.458,0.064,0.334
2000,0.762,0.18,2.33,0.594,0.322,0.076,0.426
2001,0.676,0.23,2.15,0.422,0.186,0.088,0.518
2002,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2003,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2004,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2005,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2006,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2007,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2008,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2009,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2010,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2011,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2012,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2013,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2014,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2015,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2016,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2017,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2018,0.59,0.28,1.97,0.25,0.05,0.1,0.61
2019,0.59,0.28,1.97,0.25,0.05,0.1,0.61
